universe,self_only,ctype,k,sigma,seed,clean_IC,clean_RankIC,dP
csi300,False,gaussian,0.0,2.0,0,0.06509193639827174,0.06845252834426856,0.0
csi300,False,gaussian,0.0,2.0,1,0.06509193639827174,0.06845252834426856,0.0
csi300,False,gaussian,0.0,2.0,2,0.06509193639827174,0.06845252834426856,0.0
csi300,False,gaussian,0.0,2.0,3,0.06509193639827174,0.06845252834426856,0.0
csi300,False,gaussian,0.0,2.0,4,0.06509193639827174,0.06845252834426856,0.0
csi300,False,gaussian,0.05,2.0,0,0.06324977154817978,0.06623904475999785,0.008336674
csi300,False,gaussian,0.05,2.0,1,0.06463409993900787,0.06744117291650203,0.008167295
csi300,False,gaussian,0.05,2.0,2,0.06341166678724067,0.06650021049613207,0.008140394
csi300,False,gaussian,0.05,2.0,3,0.06501965792430481,0.06845087923520786,0.008572614
csi300,False,gaussian,0.05,2.0,4,0.0659637861667945,0.06961735334769033,0.0068842173
csi300,False,gaussian,0.1,2.0,0,0.061746002702960684,0.06550954424039644,0.013151275
csi300,False,gaussian,0.1,2.0,1,0.06450756257288144,0.0668396959599523,0.013475751
csi300,False,gaussian,0.1,2.0,2,0.06494501762915932,0.06738482029369515,0.0137445
csi300,False,gaussian,0.1,2.0,3,0.0642612750559263,0.067230497334352,0.014212333
csi300,False,gaussian,0.1,2.0,4,0.06790131203143336,0.0720472265857491,0.012819413
csi300,False,gaussian,0.2,2.0,0,0.06178262266452171,0.0657457703986471,0.023659853
csi300,False,gaussian,0.2,2.0,1,0.06535641496420842,0.067709693906301,0.0224851
csi300,False,gaussian,0.2,2.0,2,0.06150164950682254,0.0638469974398543,0.023989273
csi300,False,gaussian,0.2,2.0,3,0.06195640248506112,0.06401493441071342,0.023422904
csi300,False,gaussian,0.2,2.0,4,0.06774634027115993,0.0714498951015805,0.022121726
csi300,False,gaussian,0.4,2.0,0,0.06195654175596121,0.06662940568529441,0.042481136
csi300,False,gaussian,0.4,2.0,1,0.06196943774647743,0.06542216762203953,0.042321447
csi300,False,gaussian,0.4,2.0,2,0.060165036407721625,0.06090583641253961,0.04328736
csi300,False,gaussian,0.4,2.0,3,0.05700224744778352,0.060960604619124475,0.042554982
csi300,False,gaussian,0.4,2.0,4,0.07066102227354573,0.07216608615246249,0.03976682
csi300,False,missing,0.0,2.0,0,0.06509193639827174,0.06845252834426856,0.0
csi300,False,missing,0.0,2.0,1,0.06509193639827174,0.06845252834426856,0.0
csi300,False,missing,0.0,2.0,2,0.06509193639827174,0.06845252834426856,0.0
csi300,False,missing,0.0,2.0,3,0.06509193639827174,0.06845252834426856,0.0
csi300,False,missing,0.0,2.0,4,0.06509193639827174,0.06845252834426856,0.0
csi300,False,missing,0.05,2.0,0,0.06419364308763952,0.06732123983048846,0.0123921335
csi300,False,missing,0.05,2.0,1,0.06521456199380568,0.06811543127522203,0.011673423
csi300,False,missing,0.05,2.0,2,0.06382778114853627,0.06709258075754944,0.011574909
csi300,False,missing,0.05,2.0,3,0.06592115468490675,0.06960812727453176,0.012087616
csi300,False,missing,0.05,2.0,4,0.06655683012816346,0.07024983998276413,0.010856986
csi300,False,missing,0.1,2.0,0,0.0629053591664157,0.06700315927242727,0.020353058
